,Unnamed: 0,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,true_vertical_depth,pad_id,frac_type,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y
0,0,1383493.751,717329.2368,1382854.564,712767.37,1121,8712.598425,102604,Primary Frac,1383030.678,714796.3609999999,1382668.9119999998,712798.4321
1,1,1380344.035,711916.2732,1379738.429,707860.5643,1022,8627.952756,108497,Primary Frac,1379965.126,709541.7145,1379630.025,707907.6708
2,2,1379915.895,717845.0063,1379274.644,713471.9952,1304,8801.181102,108526,Primary Frac,1379357.25,715381.2327,1378960.372,713530.449
3,3,1383567.4430000002,706640.2009999999,1382891.477,702068.3838,1022,8635.826772,105631,Primary Frac,1383099.61,704058.8508,1382727.299,702098.4882
4,4,1378962.585,702623.9787,1379643.546,707204.9131,1022,8664.370079,103717,Primary Frac,1379546.414,705150.7519,1379987.487,707123.7258
5,5,1381250.408,702293.2344,1381927.7219999998,706874.3795,1022,8668.307087000001,112397,Primary Frac,1382166.864,704872.4045,1382717.737,706720.3298
6,6,1387300.731,706766.1052,1387980.935,711336.8008,1349,8711.614173,113367,Primary Frac,1387788.248,709283.6808,1388174.6730000002,711314.474
7,7,1388889.586,706536.157,1388895.735,706578.6413,1349,8704.724409,116673,Primary Frac,1389357.383,709030.8139,1389741.421,711055.9529
8,8,1390235.998,706384.6691,1390892.595,710868.5348,1349,8700.787402,104220,Primary Frac,1390647.333,708858.2914,1391052.6090000002,710830.3507
9,9,1370168.15,687892.5052,1370820.24,692441.3252,1349,8624.015748,113216,Primary Frac,1370663.579,690453.3355,1371137.329,692373.4091
10,10,1371482.623,687749.5863,1372131.728,692252.1681,1349,8586.614173,102697,Primary Frac,1371963.878,690258.8337,1372271.125,692250.6863
11,11,1378206.882,697393.7753,1378892.146,701958.5959999999,1349,8639.76378,100930,Primary Frac,1378650.0990000002,699753.5269,1379056.999,701927.9248
12,12,1380287.7240000002,702503.6795,1381269.2869999998,706975.8566,1022,8666.338583,114221,Primary Frac,1380950.0159999998,705038.8183,1381428.0780000002,706932.7923
13,13,1377669.229,702913.2241,1378341.1830000002,707380.9763,1022,8643.700787,103308,Primary Frac,1378205.553,705432.1033,1378654.0269999998,707380.5969
14,14,1365743.664,693173.5244,1364972.809,688693.8164,1349,8564.96063,102008,Primary Frac,1365263.8469999998,690738.1419,1364812.815,688724.7632
