,Unnamed: 0,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,relative_well_position,batch_frac_classification,well_family_relationship,frac_type,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y,OilPeakRate
344,344,1032836.972,698078.5752,1028268.464,698847.5209,1213,3923.228346,14.0,451393.6429,1919215.464,8500.984252,Undefined,115.0566837,489.1929029,280.2305962,32242.403060000004,137086.8188,0.23519696,4.251755633,1.0,102330,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,9.0,1030244.11,698733.6581,1028335.428,699174.1302,184.6428857
347,347,1028372.818,705664.9173,1023864.056,706260.3561,1213,3899.606299,14.0,448267.0,1895076.793,8627.952756,Undefined,114.9518607,485.9661842,278.54330710000005,32019.07143,135362.6281,0.236542921,4.227562576,1.0,116939,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,6.0,1025805.159,706187.2109999999,1023920.524,706583.3042,223.8571775
512,512,1329694.118,605041.4532,1330347.965,609686.9108,1025,3875.0,13.0,128765.8571,631501.0977,6552.165354,Crosslink Only,33.22989862,162.9680252,298.0769231,9905.065934,48577.00752,0.2039044069999999,4.904258875,1.0,102331,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,32.0,1330267.421,607708.1822,1330683.948,609624.2091,125.7143052
540,540,1070311.801,767633.0778,1077924.241,766559.2843,1030,6994.094488,16.0,274373.6429,1519341.235,8995.07874,Slickwater Crosslink Hybrid,39.2293303,217.2320145,437.1309055,17148.35268,94958.8272,0.1805872419999999,5.537489751,1.5,112477,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,65.0,1074398.954,766764.2836,1077826.715,766010.6038,80.47699658
547,547,1070326.117,767681.0442,1078025.255,767204.4358,1030,6958.661417,21.0,192160.8571,1925162.298,8603.346457,Undefined,27.61462954,276.6569865,331.3648294,9150.517007,91674.39514,0.099815406,10.0184935,1.5,112477,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,90.0,1074480.955,767384.8049,1077967.682,766649.795,103.7393018
560,560,1113211.007,769384.1622,1117821.363,768092.2149,1030,3841.535433,20.0,131711.6429,1304108.202,9002.952756,Slickwater Crosslink Hybrid,34.28619758,339.4757707,192.0767717,6585.582143,65205.41009,0.100997481,9.901237078,1.0,103138,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,31.0,1115745.219,768328.9084,1117769.118,767926.3717,80.02382191
616,616,1235128.165,618407.3536,1235770.186,622943.3558,1018,3977.362205,14.0,187739.9286,1140660.677,7500.984251999999,Slickwater Only,47.20212013,286.7882325,284.09730030000003,13409.9949,81475.76261,0.164588762,6.075748964,1.0,105227,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,36.0,1235642.7759999998,620883.8252,1236044.086,622785.9723,203.9111427
618,618,1038854.022,771107.065,1043417.941,770206.7903,1030,4121.062992,14.0,314253.5,1185130.183,8425.19685,Crosslink Only,76.25544686,287.5787596,294.3616423,22446.67857,84652.15596,0.265163696,3.771255319,1.0,105911,Outer Well,Non-Batch Frac,Sibling Well,Primary Frac,19.0,1041395.922,770299.8234,1043340.969,769878.3527,23.42857505
623,623,1039195.037,775784.8908,1043857.851,775464.3695,1030,4041.338583,13.0,193954.7857,1206179.187,8911.417323,Slickwater Crosslink Hybrid,47.99270879,298.4603151,310.8721987,14919.5989,92783.01436,0.160800972,6.218867877999999,1.0,114415,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,28.0,1041932.721,775529.0162,1043821.522,775129.8422,68.90477257
628,628,1039024.059,771974.6193,1043620.521,771247.9238,1030,4116.141732,13.0,194766.7143,1213681.188,8439.96063,Slickwater Crosslink Hybrid,47.31778616,294.8589399,316.6262871,14982.05495,93360.09137,0.16047601,6.231461019,1.0,114130,Outer Well,Non-Batch Frac,Sibling Well,Primary Frac,16.0,1041616.615,771447.2904,1043587.81,771081.6756,156.6666909
